# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
180.46,252.1,7.7476,0.11442
180.96,248.22,7.7426,0.078026
181.46,244.36,7.7497,0.42629
181.96,240.49,7.7398,0.28674
182.46,236.62,7.7391,0.0033824
182.96,232.75,7.74,0.151
183.46,228.88,7.7381,0.15784
183.96,225.01,7.7476,0.53375
184.46,221.15,7.7289,0.11473
184.96,217.28,7.7414,0.3726
185.46,213.42,7.7293,0.01864
185.96,209.55,7.736,0.26569
186.46,205.68,7.7291,0.069544
186.96,201.82,7.7348,0.33948
187.46,197.96,7.7257,0.011795
187.96,194.1,7.7371,0.46715
188.46,190.23,7.7216,0.15248
188.96,186.37,7.7313,0.35352
189.46,182.51,7.7231,0.24049
189.96,178.65,7.7261,0.26845
190.46,174.79,7.7321,0.5096
190.96,170.93,7.7168,0.039711
191.46,167.07,7.7241,0.042634
191.96,163.21,7.7217,0.077618
192.46,159.35,7.7232,0.20432
192.96,155.49,7.72,0.0025256
193.46,151.63,7.7214,0.10764
193.96,147.77,7.7215,0.1998
194.46,143.91,7.7226,0.30524
194.96,140.05,7.7178,0.12093
195.46,136.19,7.7197,0.1187
195.96,132.33,7.7196,0.194
196.46,128.47,7.7172,0.015904
196.96,124.61,7.7208,0.26905
197.46,120.76,7.7155,0.076336
197.96,116.9,7.7174,0.079523
198.46,113.04,7.718,0.22092
198.96,109.18,7.7157,0.15614
199.46,105.33,7.7277,0.55934
199.96,101.47,7.7124,0.36188
200.46,97.615,7.7165,0.28083
200.96,93.76,7.7225,0.49994
201.46,89.905,7.7131,0.36577
201.96,86.049,7.7121,0.12863
202.46,82.193,7.7152,0.23847
202.96,78.338,7.7129,0.22269
203.46,74.482,7.712,0.14723
203.96,70.627,7.7144,0.28186
204.46,66.772,7.7118,0.25809
204.96,62.918,7.7123,0.26579
205.46,59.063,7.7094,0.13614
205.96,55.209,7.7117,0.22241
206.46,51.355,7.7082,0.055497
206.96,47.5,7.711,0.21594
207.46,43.648,7.719,0.54376
207.96,39.796,7.7038,0.27187
208.46,35.943,7.7115,0.31005
208.96,32.09,7.7063,0.2028
209.46,28.237,7.7068,0.10373
209.96,24.386,7.719,0.56984
210.46,20.535,7.6983,0.11944
210.96,16.682,7.7083,0.16024
211.46,12.83,7.7039,0.034615
211.96,8.978,7.7049,0.047495
212.46,5.1263,7.7057,0.20299
212.96,1.275,7.7045,0.21313
# Event GROUND_HIT occurred at t=213.46 seconds
# Event SIMULATION_END occurred at t=213.46 seconds
213.46,-2.5763,7.7025,0.057914
